Age,Weight (kg),Height (m),Max_BPM,Avg_BPM,Resting_BPM,Session_Duration (hours),Fat_Percentage,Water_Intake (liters),Workout_Frequency (days/week),Experience_Level,BMI,Calories_Burned (kcal),Gender_Male,Workout_Type_HIIT,Workout_Type_Mixed,Workout_Type_Strength,Workout_Type_Yoga,Cluster
59,54.0,1.58,150.0,140.0,79.0,0.69,22.6,3.4,3,0,21.6,304.1,True,True,False,False,False,2
38,101.6,1.78,180.0,145.0,64.0,1.32,19.2,4.5,4,2,32.2,561.9,False,False,False,True,False,1
33,78.5,1.73,183.0,168.0,80.0,0.69,27.1,3.4,3,0,26.3,439.6,False,True,False,False,False,0
29,69.0,1.72,191.0,172.0,60.0,0.82,12.7,3.5,7,3,23.4,459.6,True,True,False,False,False,1
19,74.9,1.76,205.0,185.0,71.0,0.72,22.0,3.2,5,1,24.2,435.9,True,True,False,False,False,0
58,66.3,1.64,164.0,149.0,63.0,1.08,16.8,3.9,7,2,24.7,579.2,True,True,False,False,False,1
41,62.2,1.64,189.0,148.0,71.0,1.17,24.3,3.4,3,1,23.1,332.4,False,False,False,False,False,0
52,57.4,1.76,161.0,128.0,67.0,0.74,25.3,2.8,3,0,18.5,192.9,True,False,False,False,False,2
47,72.9,1.55,165.0,151.0,70.0,1.04,19.4,3.5,5,2,30.5,614.1,True,True,False,False,False,1
47,51.4,1.47,179.0,161.0,60.0,1.16,17.7,3.6,7,2,23.9,480.7,False,True,False,False,False,1
52,66.3,1.64,169.0,140.0,56.0,1.22,11.2,4.9,5,3,24.7,481.0,False,False,True,False,False,1
36,101.6,1.77,186.0,129.0,58.0,0.69,22.5,4.1,4,1,32.3,116.7,True,False,False,False,True,2
25,61.9,1.71,195.0,150.0,66.0,0.77,18.7,2.8,5,1,21.3,217.3,False,False,False,False,False,0
43,83.0,1.77,178.0,141.0,55.0,0.92,16.6,4.1,7,3,26.6,320.3,True,False,False,True,False,1
57,45.5,1.48,166.0,139.0,76.0,0.98,23.4,3.9,2,0,20.8,187.3,True,False,False,True,False,2
24,74.1,1.71,197.0,159.0,69.0,0.76,24.1,3.9,2,0,25.3,237.6,False,False,False,True,False,0
47,75.6,1.75,170.0,126.0,73.0,0.63,28.8,3.5,3,0,24.8,78.1,False,False,False,False,True,2
24,64.8,1.54,205.0,168.0,57.0,1.26,15.8,4.7,7,3,27.2,489.9,True,False,True,False,False,1
20,89.9,1.77,200.0,140.0,66.0,0.92,34.7,3.9,3,0,28.8,137.0,False,False,False,False,True,0
18,60.4,1.67,201.0,181.0,66.0,1.28,21.8,3.4,4,2,21.7,625.7,False,True,False,False,False,0
53,104.9,1.9,165.0,141.0,69.0,0.94,30.7,4.0,5,1,29.7,604.0,False,False,True,False,False,2
42,64.0,1.46,180.0,154.0,75.0,0.67,20.8,3.7,3,0,29.9,258.1,False,False,True,False,False,2
54,75.9,1.82,165.0,150.0,64.0,1.17,15.4,3.9,7,3,23.0,718.3,False,True,False,False,False,1
18,64.5,1.64,192.0,155.0,70.0,0.73,17.3,3.2,5,1,24.0,196.8,False,False,False,True,False,0
32,50.8,1.52,187.0,151.0,68.0,0.63,27.0,3.9,5,1,22.0,133.9,False,False,False,True,False,0
54,60.3,1.63,161.0,132.0,80.0,0.25,28.6,2.3,3,0,22.8,67.7,True,False,False,False,False,2
30,56.0,1.71,191.0,156.0,73.0,0.76,29.5,3.0,2,0,19.2,179.6,False,False,False,True,False,0
57,86.3,1.78,163.0,118.0,62.0,0.85,22.2,4.0,5,2,27.1,122.0,True,False,False,False,True,2
25,61.8,1.85,192.0,163.0,78.0,0.89,32.8,4.4,2,0,18.0,328.1,False,False,True,False,False,0
22,70.4,1.82,203.0,155.0,66.0,0.93,27.0,3.3,3,1,21.2,297.7,True,False,False,False,False,0
26,59.7,1.58,194.0,154.0,81.0,0.27,24.2,2.4,3,0,23.8,72.9,False,False,False,False,False,0
18,93.9,1.79,200.0,158.0,61.0,1.24,17.0,3.8,6,3,29.2,487.5,True,False,False,True,False,1
53,64.5,1.72,165.0,133.0,73.0,1.09,18.3,3.6,4,2,21.8,321.0,False,False,False,False,False,2
52,67.0,1.61,166.0,131.0,65.0,1.37,17.6,3.8,7,2,25.7,419.9,True,False,False,False,False,1
19,65.1,1.66,204.0,185.0,80.0,0.72,33.3,3.8,2,0,23.7,377.1,False,True,False,False,False,0
57,71.9,1.61,159.0,130.0,62.0,0.69,19.6,3.0,3,1,27.8,208.7,False,False,False,True,False,2
40,72.3,1.68,180.0,151.0,81.0,0.66,25.4,3.2,2,0,25.5,202.4,True,False,False,True,False,2
26,70.6,1.61,191.0,163.0,78.0,0.36,25.0,3.7,2,0,27.3,152.9,True,False,True,False,False,0
51,54.2,1.58,166.0,123.0,72.0,0.76,36.2,3.7,2,0,21.8,67.0,False,False,False,False,True,2
31,59.5,1.73,191.0,147.0,64.0,1.2,12.3,3.2,6,3,19.9,326.6,True,False,False,False,False,1
21,77.4,1.74,194.0,146.0,55.0,1.1,14.3,3.3,7,3,25.5,390.2,True,False,False,False,False,1
47,60.8,1.66,176.0,127.0,68.0,0.99,25.0,3.8,4,1,22.0,98.6,False,False,False,False,True,2
48,79.6,1.82,174.0,125.0,66.0,0.41,27.1,3.4,3,1,24.1,53.5,True,False,False,False,True,2
55,69.1,1.65,172.0,138.0,75.0,0.86,25.8,3.2,4,1,25.3,270.2,False,False,False,False,False,2
28,78.8,1.65,183.0,137.0,81.0,0.69,24.4,3.7,3,0,29.0,89.6,True,False,False,False,True,2
52,82.8,1.75,173.0,157.0,63.0,0.75,20.6,2.7,5,2,27.1,504.1,False,True,False,False,False,1
25,59.1,1.67,193.0,133.0,59.0,0.8,21.3,4.5,5,2,21.3,78.3,True,False,False,False,True,1
20,55.4,1.69,191.0,153.0,65.0,1.06,31.4,4.0,3,1,19.4,246.1,False,False,False,True,False,0
31,64.8,1.45,186.0,144.0,65.0,0.81,19.5,2.8,4,2,30.8,239.9,False,False,False,False,False,0
30,50.9,1.68,193.0,146.0,60.0,1.35,18.0,3.4,5,3,18.0,311.0,True,False,False,False,False,1
49,49.7,1.5,171.0,125.0,68.0,0.85,25.8,4.2,4,1,22.2,70.1,True,False,False,False,True,2
51,64.5,1.56,176.0,148.0,66.0,0.53,25.3,4.2,4,1,26.6,203.9,False,False,True,False,False,2
36,73.1,1.55,182.0,165.0,68.0,1.39,11.9,3.9,7,3,30.6,719.45,False,True,False,False,False,1
55,57.7,1.58,165.0,134.0,62.0,0.97,14.0,3.8,6,2,23.2,234.7,True,False,False,True,False,1
33,63.7,1.63,186.0,127.0,56.0,1.19,17.8,4.4,6,3,24.1,124.2,True,False,False,False,True,1
19,54.6,1.63,196.0,167.0,81.0,0.49,28.6,4.2,2,0,20.5,160.1,True,False,True,False,False,0
57,74.7,1.75,163.0,123.0,74.0,0.7,24.9,4.0,2,0,24.5,86.4,True,False,False,False,True,2
34,56.2,1.7,185.0,146.0,73.0,0.98,23.6,3.1,4,1,19.4,251.3,True,False,False,False,False,0
51,46.6,1.49,169.0,140.0,71.0,0.25,28.1,3.2,2,0,21.0,49.2,True,False,False,True,False,2
59,77.1,1.69,161.0,117.0,63.0,1.35,17.3,5.0,6,3,27.1,172.1,False,False,False,False,True,1
33,65.2,1.71,187.0,147.0,74.0,0.84,30.3,3.5,5,1,22.3,247.7,True,False,False,False,False,0
55,75.1,1.65,165.0,149.0,55.0,1.06,8.0,3.8,6,3,27.7,646.3,True,True,False,False,False,1
19,65.5,1.67,205.0,159.0,72.0,0.6,26.1,2.9,2,0,23.4,180.0,True,False,False,False,False,0
19,53.5,1.7,196.0,140.0,70.0,0.91,19.3,4.0,2,0,18.5,81.1,True,False,False,False,True,0
43,88.5,1.76,173.0,128.0,72.0,0.55,24.7,3.8,2,0,28.7,81.0,False,False,False,False,True,2
30,43.4,1.52,197.0,180.0,83.0,0.77,29.3,3.2,2,0,18.7,270.1,False,True,False,False,False,0
48,59.2,1.66,178.0,130.0,71.0,1.04,18.5,3.8,3,1,21.6,101.8,False,False,False,False,True,2
51,77.8,1.83,170.0,149.0,85.0,0.74,28.7,4.2,2,0,23.2,346.8,False,False,True,False,False,2
56,93.0,1.82,174.0,160.0,77.0,0.83,22.8,3.4,5,1,28.0,627.5,True,True,False,False,False,2
20,68.2,1.77,202.0,163.0,71.0,1.35,21.1,3.6,6,2,21.9,388.0,False,False,False,True,False,1
25,61.0,1.73,204.0,162.0,82.0,0.81,33.6,3.1,3,0,20.3,226.8,True,False,False,False,False,0
40,84.0,1.85,187.0,155.0,81.0,0.6,30.9,3.1,3,0,24.7,211.1,True,False,False,True,False,0
31,81.1,1.87,197.0,179.0,79.0,0.86,24.7,3.6,5,1,23.1,561.5,False,True,False,False,False,0
44,61.5,1.67,170.0,145.0,68.0,1.18,24.0,5.199999999999999,7,2,22.1,438.3,False,False,True,False,False,1
46,62.3,1.58,177.0,160.0,63.0,1.27,14.3,4.0,5,3,24.9,639.6,True,True,False,False,False,1
56,52.4,1.65,164.0,140.0,68.0,1.11,17.1,4.6,5,2,19.2,349.0,False,False,True,False,False,1
56,65.0,1.9,157.0,113.0,58.0,1.04,15.9,4.2,6,3,18.0,112.7,False,False,False,False,True,1
18,75.5,1.52,205.0,186.0,79.0,0.84,28.6,3.3,3,0,32.6,511.6,True,True,False,False,False,0
34,65.1,1.63,192.0,159.0,81.0,0.62,27.8,3.4,3,0,24.4,170.2,True,False,False,True,False,0
58,58.5,1.54,161.0,127.0,62.0,1.09,19.5,3.2,7,2,24.7,293.1,True,False,False,False,False,1
47,59.8,1.69,170.0,154.0,61.0,1.06,26.1,3.3,6,2,20.9,513.8,True,True,False,False,False,1
30,67.1,1.56,190.0,145.0,62.0,0.86,23.2,3.5,4,2,27.6,261.9,True,False,False,False,False,1
38,60.9,1.67,173.0,159.0,77.0,0.82,26.0,3.2,5,1,21.9,405.2,False,True,False,False,False,0
36,39.7,1.48,177.0,162.0,74.0,0.31,20.1,2.8,2,0,18.0,99.9,True,True,False,False,False,0
36,65.9,1.74,183.0,166.0,69.0,0.7,22.2,2.8,3,0,21.7,372.9,True,True,False,False,False,0
42,74.3,1.8,181.0,131.0,70.0,0.72,28.6,4.0,2,0,22.9,88.2,True,False,False,False,True,2
39,62.8,1.64,180.0,147.0,70.0,0.82,32.5,3.5,2,0,23.3,216.3,False,False,False,True,False,2
48,64.4,1.67,169.0,121.0,61.0,0.93,15.4,4.1,4,2,23.2,99.8,True,False,False,False,True,1
34,59.3,1.66,182.0,148.0,68.0,0.38,32.0,3.3,2,0,21.4,94.9,True,False,False,True,False,0
40,60.7,1.7,192.0,150.0,73.0,0.64,26.6,2.8,5,1,21.0,176.0,False,False,False,False,False,0
49,64.1,1.68,166.0,118.0,59.0,1.2,17.8,4.1,7,3,22.8,127.2,True,False,False,False,True,1
27,55.6,1.76,184.0,145.0,73.0,1.13,20.0,3.3,3,1,18.0,285.3,True,False,False,False,False,0
27,58.5,1.8,190.0,171.0,64.0,0.31,29.3,2.7,2,0,18.0,146.3,True,True,False,False,False,0
53,62.3,1.6,170.0,125.0,70.0,1.03,17.1,4.2,6,2,24.4,105.9,False,False,False,False,True,1
25,66.5,1.65,196.0,137.0,65.0,0.66,17.8,4.1,7,2,24.5,72.4,False,False,False,False,True,1
37,86.2,1.77,179.0,164.0,78.0,0.5,27.8,2.7,3,0,27.5,348.6,True,True,False,False,False,0
49,54.3,1.54,172.0,147.0,73.0,0.81,13.1,4.2,5,2,23.0,263.0,True,False,True,False,False,1
31,42.3,1.48,195.0,153.0,77.0,0.5,20.1,2.5,2,0,19.2,95.4,True,False,False,False,False,0
45,52.2,1.7,176.0,146.0,76.0,1.12,13.4,4.4,5,2,18.0,245.5,False,False,False,True,False,1
41,61.1,1.73,180.0,146.0,66.0,0.55,23.7,3.7,2,0,20.4,141.5,False,False,False,True,False,2
32,66.4,1.61,189.0,153.0,68.0,0.45,19.7,2.6,5,1,25.7,125.9,False,False,False,True,False,0
39,78.3,1.62,177.0,125.0,61.0,0.69,18.3,4.1,5,1,29.8,89.4,False,False,False,False,True,1
47,62.3,1.6,175.0,143.0,67.0,0.99,25.3,3.9,4,2,24.2,260.4,False,False,False,True,False,2
21,48.6,1.59,204.0,163.0,65.0,1.04,16.1,3.9,7,2,19.1,213.8,False,False,False,True,False,1
30,62.7,1.75,197.0,175.0,55.0,1.23,11.5,3.9,7,3,20.5,619.1,True,True,False,False,False,1
40,50.3,1.56,182.0,148.0,85.0,0.44,26.0,2.4,2,0,20.6,100.6,False,False,False,False,False,2
25,61.2,1.65,195.0,136.0,63.0,1.08,20.8,4.3,4,2,22.4,109.7,True,False,False,False,True,1
35,72.0,1.59,194.0,175.0,64.0,0.36,22.9,2.8,3,0,28.5,210.3,False,True,False,False,False,0
29,67.8,1.53,192.0,174.0,73.0,0.99,18.1,3.1,4,1,28.8,541.2,True,True,False,False,False,0
48,72.8,1.77,170.0,126.0,73.0,0.49,23.9,3.2,3,1,23.3,58.5,False,False,False,False,True,2
31,65.6,1.63,186.0,169.0,73.0,0.87,19.5,2.9,3,0,24.7,460.6,True,True,False,False,False,0
51,60.1,1.7,165.0,143.0,79.0,0.86,25.3,3.8,3,0,20.8,307.7,True,False,True,False,False,2
35,42.1,1.53,182.0,127.0,60.0,0.58,23.6,3.4,5,2,18.0,40.2,True,False,False,False,True,1
51,80.3,1.61,179.0,142.0,73.0,0.62,35.8,2.8,2,0,31.2,226.9,False,False,False,False,False,2
28,55.5,1.76,188.0,138.0,77.0,0.57,29.7,2.7,2,0,18.0,52.2,False,False,False,False,True,0
58,65.0,1.9,170.0,155.0,75.0,1.01,24.4,3.9,5,1,18.0,525.2,False,True,False,False,False,2
29,68.5,1.48,190.0,173.0,74.0,0.57,17.9,3.0,2,0,31.2,316.6,True,True,False,False,False,0
32,66.3,1.66,193.0,151.0,73.0,0.9,27.5,2.7,2,0,24.1,271.5,True,False,False,False,False,0
48,57.8,1.72,167.0,133.0,70.0,0.97,20.7,2.7,4,1,19.5,254.9,True,False,False,False,False,2
46,70.0,1.62,174.0,147.0,65.0,0.46,26.0,4.1,3,0,26.7,193.8,False,False,True,False,False,2
43,84.4,1.76,169.0,119.0,59.0,1.32,14.0,4.3,7,3,27.1,182.3,False,False,False,False,True,1
35,47.4,1.59,185.0,146.0,55.0,1.26,15.3,4.1,5,3,18.7,250.8,True,False,False,True,False,1
49,62.9,1.7,175.0,159.0,66.0,0.91,23.1,3.9,5,1,21.9,464.0,False,True,False,False,False,1
39,72.9,1.63,186.0,150.0,68.0,0.62,31.7,3.4,3,0,27.5,188.5,False,False,False,True,False,0
55,67.3,1.8,165.0,151.0,73.0,0.97,37.4,4.0,3,1,20.7,525.8,False,True,False,False,False,2
34,65.3,1.61,184.0,145.0,71.0,0.65,24.2,2.6,3,0,25.1,194.6,False,False,False,False,False,0
40,80.3,1.64,180.0,149.0,76.0,0.88,16.4,3.6,5,1,29.7,297.6,True,False,False,True,False,2
41,56.7,1.77,176.0,160.0,66.0,0.59,33.6,2.7,2,0,18.0,271.6,False,True,False,False,False,0
25,56.3,1.58,192.0,134.0,64.0,0.9,19.7,3.8,5,2,22.6,83.1,False,False,False,False,True,1
58,71.3,1.69,160.0,122.0,75.0,0.43,25.1,3.5,2,0,25.0,50.9,True,False,False,False,True,2
23,40.4,1.5,198.0,142.0,72.0,0.91,18.8,3.8,5,1,18.0,61.3,True,False,False,False,True,0
22,54.0,1.57,205.0,187.0,85.0,0.6,27.5,2.7,3,0,21.9,261.6,False,True,False,False,False,0
46,83.2,1.72,180.0,126.0,60.0,0.66,22.8,3.1,3,1,28.2,90.6,False,False,False,False,True,2
45,52.9,1.58,173.0,148.0,71.0,0.62,26.1,3.9,3,0,21.2,198.1,False,False,True,False,False,2
28,47.7,1.63,188.0,158.0,70.0,1.3,16.4,4.5,7,3,18.1,370.0,False,False,True,False,False,1
18,85.3,1.73,198.0,152.0,65.0,0.83,19.6,3.1,4,1,28.5,324.2,True,False,False,False,False,0
36,67.8,1.62,177.0,147.0,77.0,0.25,29.3,3.2,3,0,25.8,71.2,True,False,False,True,False,2
26,73.7,1.76,198.0,179.0,70.0,0.48,24.9,3.0,2,0,23.7,286.2,True,True,False,False,False,0
44,68.3,1.7,169.0,124.0,68.0,0.93,24.3,3.6,3,0,23.6,105.7,False,False,False,False,True,2
51,83.5,1.72,158.0,116.0,66.0,0.98,26.5,4.0,4,1,28.1,133.4,False,False,False,False,True,2
21,81.9,1.8,203.0,161.0,85.0,0.45,27.3,2.6,3,0,25.2,166.2,True,False,False,False,False,0
53,77.9,1.71,170.0,154.0,64.0,0.77,20.9,3.5,4,1,26.6,483.8,False,True,False,False,False,2
35,71.4,1.83,180.0,164.0,74.0,0.55,30.4,3.5,3,0,21.2,316.8,True,True,False,False,False,0
32,56.5,1.77,190.0,133.0,64.0,0.53,8.1,3.4,4,2,18.0,49.2,True,False,False,False,True,1
30,70.2,1.63,183.0,167.0,75.0,1.18,18.3,3.7,3,1,26.5,670.4,True,True,False,False,False,0
36,93.0,1.81,184.0,133.0,71.0,1.04,19.5,4.6,4,2,28.4,159.2,True,False,False,False,True,1
23,67.3,1.71,199.0,164.0,61.0,1.33,13.9,4.4,7,3,23.1,534.5,True,False,True,False,False,1
29,74.1,1.64,194.0,132.0,55.0,1.645,18.6,4.5,5,3,27.6,206.9,True,False,False,False,True,1
54,66.1,1.71,168.0,134.0,71.0,0.94,26.1,3.3,2,0,22.7,282.5,True,False,False,False,False,2
34,75.8,1.79,177.0,135.0,59.0,1.09,11.4,3.2,7,2,23.6,372.5,False,False,False,False,False,1
40,92.3,1.73,182.0,134.0,76.0,0.88,19.9,3.7,4,1,31.0,133.3,True,False,False,False,True,2
43,79.2,1.86,188.0,170.0,65.0,1.1,20.6,3.6,4,1,22.8,706.5,True,True,False,False,False,0
46,72.3,1.79,176.0,144.0,68.0,1.01,23.6,4.0,5,3,22.6,308.3,False,False,False,True,False,1
50,54.0,1.73,163.0,142.0,77.0,0.52,29.9,4.5,3,0,18.0,169.8,True,False,True,False,False,2
44,66.6,1.58,172.0,143.0,76.0,0.42,23.2,3.2,3,1,26.8,117.1,False,False,False,True,False,2
42,58.5,1.66,175.0,152.0,81.0,0.95,20.7,4.4,4,1,21.2,335.8,True,False,True,False,False,2
27,70.0,1.69,181.0,154.0,70.0,0.61,29.8,4.0,3,0,24.6,258.5,False,False,True,False,False,0
40,69.6,1.75,181.0,162.0,55.0,1.48,15.1,4.4,6,3,22.7,719.45,False,True,False,False,False,1
38,67.6,1.74,180.0,154.0,76.0,0.72,26.5,3.9,2,0,22.2,292.0,False,False,True,False,False,0
38,67.8,1.7,180.0,142.0,70.0,0.9,19.6,3.2,7,2,23.5,279.6,True,False,False,False,False,1
30,68.2,1.69,189.0,143.0,57.0,1.44,12.9,4.3,5,3,23.8,447.9,False,False,False,False,False,1
54,88.1,1.75,162.0,138.0,65.0,1.03,13.2,4.7,7,2,28.7,546.3,True,False,True,False,False,1
50,76.4,1.59,174.0,126.0,66.0,1.25,16.0,4.3,7,3,30.1,159.2,True,False,False,False,True,1
41,91.0,1.85,180.0,150.0,81.0,0.81,26.6,3.9,2,0,26.6,308.2,True,False,False,True,False,2
28,63.3,1.48,189.0,171.0,67.0,0.68,19.8,3.2,3,1,29.1,348.6,True,True,False,False,False,0
34,91.4,1.83,188.0,159.0,71.0,0.81,24.1,4.0,4,1,27.4,445.5,True,False,True,False,False,0
21,72.9,1.68,201.0,166.0,60.0,0.84,14.1,4.1,5,2,26.0,368.3,True,False,True,False,False,1
42,94.5,1.78,173.0,147.0,68.0,0.72,26.8,4.2,2,0,29.8,409.5,True,False,True,False,False,2
47,55.3,1.72,172.0,137.0,72.0,1.05,22.4,2.9,6,2,18.8,264.2,False,False,False,False,False,1
26,62.5,1.71,193.0,148.0,64.0,0.66,32.3,3.6,3,0,21.3,188.0,True,False,False,False,False,0
38,62.4,1.74,179.0,148.0,76.0,0.6,26.5,3.0,3,0,20.7,157.0,True,False,False,True,False,2
37,70.7,1.76,176.0,160.0,68.0,0.83,22.9,3.7,5,1,22.8,474.9,False,True,False,False,False,0
36,72.6,1.65,181.0,154.0,73.0,0.42,27.9,3.7,4,1,26.7,183.0,True,False,True,False,False,0
36,62.2,1.78,190.0,144.0,57.0,1.13,19.8,3.1,7,3,19.5,321.8,False,False,False,False,False,1
29,64.2,1.57,188.0,147.0,71.0,1.02,16.7,3.4,6,2,26.0,297.8,False,False,False,False,False,1
54,61.1,1.68,170.0,125.0,69.0,0.72,19.7,3.4,5,1,21.7,73.2,True,False,False,False,True,2
59,70.3,1.76,161.0,141.0,82.0,0.59,33.8,4.2,2,0,22.6,247.8,True,False,True,False,False,2
34,78.5,1.78,187.0,159.0,76.0,0.73,35.2,4.1,3,0,24.8,342.8,False,False,True,False,False,0
54,91.5,1.73,160.0,146.0,65.0,1.0,14.7,3.5,4,1,30.7,719.45,True,True,False,False,False,2
56,56.9,1.64,170.0,128.0,78.0,0.36,27.7,3.0,3,0,21.2,33.4,False,False,False,False,True,2
45,74.2,1.77,185.0,156.0,67.0,1.2,24.3,4.9,4,2,23.7,537.3,False,False,True,False,False,1
58,51.2,1.61,159.0,129.0,74.0,0.8,30.3,2.9,3,0,19.7,185.5,True,False,False,False,False,2
52,72.7,1.86,175.0,144.0,71.0,0.81,26.6,3.4,3,0,21.1,248.0,False,False,False,True,False,2
35,54.9,1.67,179.0,162.0,69.0,1.16,28.7,3.9,7,2,19.7,511.5,True,True,False,False,False,1
31,58.2,1.53,189.0,157.0,60.0,1.32,15.4,4.6,5,2,25.0,462.1,True,False,True,False,False,1
52,62.6,1.56,162.0,139.0,71.0,0.46,23.1,4.0,2,0,25.7,172.1,False,False,True,False,False,2
58,75.9,1.68,164.0,134.0,78.0,0.55,28.5,2.6,3,0,26.7,190.3,False,False,False,False,False,2
24,60.2,1.69,195.0,154.0,59.0,1.15,18.8,4.3,7,3,21.0,290.2,True,False,False,True,False,1
58,91.7,1.88,162.0,124.0,55.0,0.9,12.3,2.7,4,2,26.0,372.5,True,False,False,False,False,1
30,60.7,1.58,197.0,149.0,60.0,1.15,8.0,3.2,4,2,24.5,317.4,True,False,False,False,False,1
35,67.4,1.68,191.0,157.0,77.0,0.76,29.0,3.6,2,0,23.8,215.7,False,False,False,True,False,0
54,47.2,1.57,165.0,131.0,69.0,0.91,24.0,3.1,3,1,19.0,194.2,True,False,False,False,False,2
30,65.5,1.63,196.0,153.0,74.0,0.51,24.2,2.7,2,0,24.6,151.4,False,False,False,False,False,0
53,84.5,1.85,173.0,139.0,76.0,0.79,25.8,3.0,2,0,24.7,303.5,False,False,False,False,False,2
48,59.9,1.57,178.0,147.0,77.0,0.47,31.0,3.6,2,0,24.4,117.1,False,False,False,True,False,2
19,77.4,1.74,202.0,158.0,76.0,0.27,29.1,2.3,2,0,25.6,95.2,True,False,False,False,False,0
33,79.2,1.72,189.0,149.0,55.0,0.96,26.7,3.6,5,3,26.8,320.0,False,False,False,True,False,1
26,55.2,1.68,193.0,162.0,70.0,1.02,20.3,4.6,3,1,19.6,336.9,True,False,True,False,False,0
26,69.4,1.73,205.0,169.0,62.0,1.01,15.6,4.4,5,2,23.1,419.6,False,False,True,False,False,1
55,63.8,1.56,167.0,130.0,60.0,1.11,10.2,3.1,6,3,26.1,324.3,True,False,False,False,False,1
28,78.1,1.85,192.0,142.0,80.0,1.02,23.5,3.6,2,0,22.9,132.3,True,False,False,False,True,0
39,97.6,1.87,184.0,155.0,70.0,0.73,25.3,4.4,2,0,27.8,425.0,False,False,True,False,False,0
50,69.1,1.68,171.0,143.0,75.0,0.89,24.7,3.8,2,0,24.4,261.4,True,False,False,True,False,2
53,65.0,1.9,177.0,149.0,62.0,0.95,10.8,4.4,7,3,18.0,373.7,False,False,True,False,False,1
40,73.6,1.64,180.0,151.0,63.0,1.15,19.9,4.7,4,2,27.4,509.3,False,False,True,False,False,1
51,69.6,1.72,173.0,135.0,63.0,0.68,25.6,2.6,5,1,23.5,216.8,False,False,False,False,False,2
26,59.8,1.82,193.0,153.0,59.0,1.22,16.3,3.9,7,2,18.0,307.1,False,False,False,True,False,1
41,61.4,1.63,171.0,127.0,75.0,0.32,27.1,3.2,3,0,23.0,31.9,False,False,False,False,True,2
25,45.0,1.54,195.0,158.0,72.0,0.41,34.9,3.5,3,0,18.9,77.4,False,False,False,True,False,0
24,62.3,1.52,200.0,165.0,60.0,1.03,22.2,4.3,3,1,27.0,385.0,False,False,True,False,False,0
53,84.9,1.89,168.0,141.0,61.0,0.73,21.0,3.7,5,2,23.9,370.7,True,False,True,False,False,1
35,53.8,1.63,179.0,140.0,68.0,0.89,21.3,3.1,3,0,20.3,217.4,False,False,False,False,False,2
20,75.2,1.66,205.0,148.0,79.0,0.89,26.9,3.8,3,0,27.2,110.0,False,False,False,False,True,0
45,63.6,1.57,169.0,153.0,63.0,0.84,21.1,3.1,3,1,25.8,430.9,True,True,False,False,False,2
23,72.6,1.77,193.0,143.0,82.0,0.42,28.0,3.0,2,0,23.1,50.3,True,False,False,False,True,0
38,48.8,1.6,176.0,146.0,76.0,1.16,26.5,4.3,7,2,19.0,237.8,False,False,False,True,False,1
45,54.9,1.63,170.0,134.0,66.0,0.98,22.4,3.2,3,1,20.6,246.2,False,False,False,False,False,2
57,60.1,1.71,163.0,149.0,67.0,0.92,22.7,3.1,3,1,20.6,448.7,False,True,False,False,False,2
18,66.8,1.57,205.0,184.0,65.0,0.88,8.0,3.0,7,3,27.0,474.7,True,True,False,False,False,1
53,49.7,1.66,164.0,136.0,70.0,0.93,26.0,3.7,4,2,18.0,194.7,False,False,False,True,False,2
38,78.9,1.82,185.0,146.0,73.0,0.59,27.2,2.8,2,0,23.8,212.4,True,False,False,False,False,0
52,68.3,1.72,172.0,156.0,68.0,0.76,23.7,3.4,5,1,23.0,417.3,False,True,False,False,False,2
30,80.7,1.69,188.0,148.0,73.0,0.71,24.7,2.9,3,0,28.1,261.6,False,False,False,False,False,0
27,72.2,1.7,185.0,148.0,61.0,0.74,14.6,3.1,5,2,24.9,224.9,True,False,False,True,False,1
27,70.4,1.64,201.0,161.0,70.0,0.83,24.2,3.4,7,2,26.1,243.5,False,False,False,True,False,0
30,77.4,1.88,187.0,146.0,71.0,0.79,27.1,2.9,4,1,21.9,276.7,False,False,False,False,False,0
54,48.8,1.6,155.0,127.0,61.0,0.67,13.7,3.7,6,2,19.1,137.7,False,False,False,True,False,1
55,65.7,1.7,163.0,135.0,70.0,0.63,26.0,3.8,5,1,22.7,173.6,True,False,False,True,False,2
41,77.6,1.69,182.0,164.0,63.0,1.11,20.9,3.7,5,2,27.1,694.5,False,True,False,False,False,1
19,85.9,1.78,205.0,163.0,85.0,0.96,24.6,3.3,3,0,27.1,375.2,False,False,False,False,False,0
39,71.4,1.79,175.0,145.0,74.0,0.92,29.9,3.4,3,0,22.3,277.1,True,False,False,True,False,2
34,57.8,1.68,177.0,128.0,69.0,1.03,21.9,4.3,7,2,20.6,97.6,True,False,False,False,True,1
53,57.8,1.71,169.0,127.0,77.0,0.71,31.4,3.3,3,0,19.8,66.9,False,False,False,False,True,2
31,68.8,1.71,192.0,153.0,64.0,0.75,19.5,3.9,6,2,23.5,215.3,False,False,False,True,False,1
27,51.8,1.45,199.0,166.0,67.0,1.0,10.2,4.3,6,2,24.5,310.8,True,False,True,False,False,1
52,69.2,1.52,173.0,125.0,66.0,0.72,16.5,3.8,7,2,29.9,82.4,False,False,False,False,True,1
42,64.2,1.62,179.0,164.0,77.0,1.2,25.9,3.5,5,2,24.5,624.3,False,True,False,False,False,0
20,69.8,1.62,195.0,177.0,70.0,1.01,18.4,4.3,3,1,26.5,573.3,True,True,False,False,False,0
