Unnamed: 0,Age,Gender,Weight (kg),Height (m),Max_BPM,Avg_BPM,Resting_BPM,Session_Duration (hours),Workout_Type,Fat_Percentage,Water_Intake (liters),Workout_Frequency (days/week),Experience_Level,BMI,Base_MET,HR_Intensity,Effective_MET,Calories_Burned (kcal),HR_Reserve_Ratio
1327,52,Female,87.2,1.73,158.0,145.0,74.0,0.56,HIIT,20.9,3.2,3,1,29.2,9.5,0.8452380952380952,8.029761904761905,392.1,0.8452380952380952
1328,35,Male,74.7,1.67,187.0,135.0,71.0,0.65,Yoga,20.4,3.1,4,1,26.8,3.0,0.5517241379310345,1.6551724137931034,80.4,0.5517241379310345
1329,59,Female,66.2,1.68,160.0,130.0,62.0,0.8,Strength,22.7,3.2,5,1,23.4,6.0,0.6938775510204082,4.163265306122449,220.5,0.6938775510204082
1330,56,Female,68.9,1.67,171.0,134.0,64.0,0.8,Cardio,26.0,3.1,5,2,24.9,7.0,0.6542056074766355,4.579439252336448,252.4,0.6542056074766355
1331,34,Female,66.4,1.78,187.0,128.0,56.0,1.09,Yoga,23.9,4.2,4,2,20.9,3.0,0.549618320610687,1.6488549618320612,119.3,0.549618320610687
1332,31,Male,61.3,1.68,184.0,154.0,62.0,1.645,Mixed,14.3,5.199999999999999,7,3,21.8,8.0,0.7540983606557377,6.032786885245901,613.9,0.7540983606557377
1333,48,Male,71.5,1.76,168.0,123.0,67.0,0.84,Yoga,18.2,3.8,7,2,23.2,3.0,0.5544554455445545,1.6633663366336635,99.9,0.5544554455445545
1334,41,Female,70.3,1.64,167.0,131.0,64.0,1.02,Cardio,21.3,2.8,7,2,26.2,7.0,0.6504854368932039,4.553398058252427,326.5,0.6504854368932039
1335,52,Female,54.9,1.7,180.0,145.0,64.0,0.67,Strength,22.0,3.5,5,1,19.0,6.0,0.6982758620689655,4.189655172413794,154.1,0.6982758620689655
1336,51,Male,62.2,1.6,156.0,131.0,71.0,0.39,Strength,28.0,3.2,2,0,24.3,6.0,0.7058823529411765,4.235294117647059,102.7,0.7058823529411765
1337,20,Male,72.8,1.8,197.0,152.0,67.0,0.62,Cardio,27.1,3.0,2,0,22.4,7.0,0.6538461538461539,4.576923076923077,206.6,0.6538461538461539
1338,54,Male,52.0,1.6,170.0,155.0,70.0,0.97,HIIT,23.4,3.7,5,1,20.4,9.5,0.85,8.075,407.3,0.85
1339,57,Male,61.0,1.65,170.0,139.0,81.0,1.26,Cardio,14.1,3.8,7,2,22.5,7.0,0.651685393258427,4.561797752808989,350.6,0.651685393258427
1340,43,Female,48.9,1.65,186.0,156.0,64.0,0.83,Mixed,9.9,4.3,4,2,18.0,8.0,0.7540983606557377,6.032786885245901,244.9,0.7540983606557377
1341,40,Male,56.7,1.64,180.0,125.0,58.0,1.27,Yoga,14.2,4.6,7,3,21.0,3.0,0.5491803278688525,1.6475409836065575,118.6,0.5491803278688525
1342,56,Female,60.2,1.75,167.0,133.0,71.0,1.23,Cardio,27.0,3.6,3,1,19.6,7.0,0.6458333333333334,4.520833333333334,334.7,0.6458333333333334
1343,32,Male,62.2,1.65,186.0,156.0,64.0,0.77,Mixed,21.8,4.4,4,1,22.9,8.0,0.7540983606557377,6.032786885245901,288.9,0.7540983606557377
1344,21,Female,59.6,1.82,191.0,171.0,55.0,1.645,HIIT,10.5,4.0,6,3,18.0,9.5,0.8529411764705882,8.102941176470589,811.3,0.8529411764705882
1345,46,Female,63.2,1.6,169.0,138.0,67.0,0.62,Strength,19.9,3.2,4,1,24.8,6.0,0.696078431372549,4.1764705882352935,163.7,0.696078431372549
1346,39,Male,79.6,1.7,172.0,158.0,74.0,0.42,HIIT,17.6,3.1,4,1,27.6,9.5,0.8571428571428571,8.142857142857142,272.2,0.8571428571428571
1347,42,Female,60.4,1.6,180.0,138.0,62.0,1.54,Cardio,8.9,3.4,7,3,23.5,7.0,0.6440677966101694,4.508474576271186,419.4,0.6440677966101694
1348,30,Female,77.1,1.72,188.0,153.0,69.0,0.87,Strength,17.8,3.7,5,1,26.0,6.0,0.7058823529411765,4.235294117647059,284.1,0.7058823529411765
1349,35,Female,61.8,1.68,184.0,132.0,69.0,0.92,Yoga,15.5,4.2,7,2,21.9,3.0,0.5478260869565217,1.643478260869565,93.4,0.5478260869565217
1350,50,Male,49.9,1.66,173.0,137.0,69.0,1.47,Cardio,13.4,3.3,7,3,18.0,7.0,0.6538461538461539,4.576923076923077,335.7,0.6538461538461539
1351,33,Male,77.7,1.8,188.0,154.0,74.0,1.07,Strength,18.2,4.4,3,1,24.0,6.0,0.7017543859649122,4.2105263157894735,350.1,0.7017543859649122
1352,59,Male,69.7,1.61,164.0,131.0,70.0,0.74,Cardio,32.4,3.1,3,0,26.7,7.0,0.648936170212766,4.542553191489362,234.3,0.648936170212766
1353,19,Female,56.5,1.74,205.0,138.0,56.0,0.79,Yoga,14.8,3.9,5,2,18.7,3.0,0.5503355704697986,1.651006711409396,73.7,0.5503355704697986
1354,52,Female,56.9,1.6,164.0,126.0,56.0,0.88,Cardio,28.5,2.7,4,2,22.1,7.0,0.6481481481481481,4.537037037037037,227.2,0.6481481481481481
1355,59,Female,65.8,1.69,152.0,134.0,79.0,0.65,Mixed,19.8,4.0,3,0,23.0,8.0,0.7534246575342466,6.027397260273973,257.8,0.7534246575342466
1356,51,Female,85.2,1.56,166.0,151.0,66.0,1.16,HIIT,19.4,3.8,3,1,34.95,9.5,0.85,8.075,798.1,0.85
1357,47,Male,64.8,1.61,172.0,138.0,74.0,0.86,Cardio,16.8,2.7,5,1,24.9,7.0,0.6530612244897959,4.571428571428571,254.8,0.6530612244897959
1358,30,Female,50.3,1.67,192.0,160.0,63.0,0.91,Mixed,16.7,4.1,7,2,18.0,8.0,0.751937984496124,6.015503875968992,275.3,0.751937984496124
1359,30,Female,62.4,1.86,194.0,164.0,77.0,0.88,Mixed,27.7,4.0,2,0,18.0,8.0,0.7435897435897436,5.948717948717949,326.7,0.7435897435897436
1360,35,Female,76.9,1.69,180.0,143.0,74.0,0.58,Cardio,23.9,2.6,5,1,26.9,7.0,0.6509433962264151,4.556603773584905,203.2,0.6509433962264151
1361,49,Male,104.9,1.85,165.0,135.0,66.0,0.65,Strength,22.6,3.4,3,1,33.9,6.0,0.696969696969697,4.181818181818182,314.2,0.696969696969697
1362,49,Female,66.3,1.7,178.0,147.0,74.0,0.7,Strength,26.1,3.9,5,1,22.9,6.0,0.7019230769230769,4.211538461538462,195.5,0.7019230769230769
1363,52,Male,61.0,1.64,170.0,153.0,57.0,1.45,HIIT,12.7,4.2,7,3,22.6,9.5,0.8495575221238938,8.070796460176991,713.9,0.8495575221238938
1364,56,Male,86.5,1.83,166.0,133.0,56.0,0.72,Strength,18.0,3.8,6,3,25.7,6.0,0.7,4.199999999999999,261.6,0.7
1365,46,Female,61.8,1.72,175.0,132.0,79.0,0.56,Yoga,27.2,3.3,3,0,20.8,3.0,0.5520833333333334,1.65625,57.3,0.5520833333333334
1366,46,Female,47.0,1.62,175.0,141.0,78.0,0.57,Cardio,30.2,2.4,3,0,18.0,7.0,0.6494845360824743,4.546391752577319,121.8,0.6494845360824743
1367,33,Female,84.0,1.73,186.0,153.0,77.0,0.77,Strength,28.1,3.3,2,0,28.1,6.0,0.6972477064220184,4.18348623853211,270.6,0.6972477064220184
1368,27,Female,58.7,1.65,189.0,133.0,64.0,0.55,Yoga,20.7,3.2,4,1,21.5,3.0,0.552,1.656,53.5,0.552
1369,47,Male,61.9,1.48,170.0,122.0,63.0,0.89,Yoga,19.2,4.2,5,2,28.2,3.0,0.5514018691588785,1.6542056074766354,91.1,0.5514018691588785
1370,42,Male,65.9,1.77,189.0,160.0,73.0,0.76,Mixed,20.9,4.2,5,1,21.0,8.0,0.75,6.0,300.5,0.75
1371,56,Male,78.4,1.79,173.0,147.0,85.0,0.25,Strength,27.6,2.9,2,0,24.5,6.0,0.7045454545454546,4.227272727272728,82.9,0.7045454545454546
1372,37,Male,95.2,1.86,188.0,172.0,84.0,0.85,HIIT,25.6,3.5,3,0,27.4,9.5,0.8461538461538461,8.038461538461538,650.5,0.8461538461538461
1373,22,Male,83.9,1.72,198.0,141.0,73.0,0.78,Yoga,32.9,3.9,2,0,28.3,3.0,0.544,1.632,106.8,0.544
1374,18,Male,68.3,1.66,205.0,163.0,67.0,0.64,Strength,27.3,3.6,4,1,24.9,6.0,0.6956521739130435,4.173913043478261,182.5,0.6956521739130435
1375,47,Male,76.9,1.76,166.0,134.0,74.0,1.05,Cardio,15.4,3.3,4,2,24.7,7.0,0.6521739130434783,4.565217391304348,368.6,0.6521739130434783
1376,20,Male,82.5,1.76,205.0,186.0,78.0,0.75,HIIT,33.3,3.8,2,0,26.5,9.5,0.8503937007874016,8.078740157480315,499.9,0.8503937007874016
1377,31,Male,87.9,1.84,188.0,153.0,73.0,0.8,Strength,28.9,2.9,3,0,25.9,6.0,0.6956521739130435,4.173913043478261,293.5,0.6956521739130435
1378,47,Male,52.9,1.68,173.0,135.0,66.0,1.2,Cardio,20.2,3.3,4,2,18.8,7.0,0.6448598130841121,4.5140186915887845,286.5,0.6448598130841121
1379,21,Female,52.3,1.66,199.0,134.0,55.0,1.34,Yoga,14.8,4.5,7,3,18.9,3.0,0.5486111111111112,1.6458333333333337,115.3,0.5486111111111112
1380,35,Female,46.6,1.61,184.0,137.0,80.0,0.82,Yoga,30.8,3.8,2,0,18.0,3.0,0.5480769230769231,1.6442307692307694,62.8,0.5480769230769231
1381,54,Female,81.4,1.73,170.0,137.0,77.0,0.92,Cardio,24.8,3.1,5,1,27.1,7.0,0.6451612903225806,4.516129032258064,338.2,0.6451612903225806
1382,42,Male,52.1,1.53,186.0,155.0,83.0,0.34,Strength,24.6,2.9,3,0,22.4,6.0,0.6990291262135923,4.194174757281553,74.3,0.6990291262135923
1383,18,Female,84.3,1.76,205.0,149.0,81.0,0.64,Yoga,21.1,3.5,2,0,27.3,3.0,0.5483870967741935,1.6451612903225803,88.8,0.5483870967741935
1384,32,Male,77.4,1.74,188.0,151.0,63.0,0.93,Strength,20.5,3.6,4,2,25.6,6.0,0.704,4.224,304.1,0.704
1385,26,Male,60.4,1.74,189.0,137.0,74.0,0.83,Yoga,20.9,3.5,4,1,20.0,3.0,0.5478260869565217,1.643478260869565,82.4,0.5478260869565217
1386,32,Female,67.5,1.69,188.0,160.0,77.0,0.51,Mixed,20.7,3.4,3,1,23.5,8.0,0.7477477477477478,5.981981981981982,205.9,0.7477477477477478
1387,41,Male,74.5,1.83,179.0,127.0,65.0,0.65,Yoga,8.0,4.0,6,3,22.2,3.0,0.543859649122807,1.6315789473684212,79.0,0.543859649122807
1388,21,Female,67.3,1.77,203.0,143.0,69.0,1.38,Yoga,21.0,4.9,4,2,21.6,3.0,0.5522388059701493,1.656716417910448,153.9,0.5522388059701493
1389,29,Male,72.5,1.62,188.0,159.0,71.0,0.88,Mixed,24.0,4.2,5,1,27.7,8.0,0.7521367521367521,6.017094017094017,383.9,0.7521367521367521
1390,54,Male,89.5,1.62,162.0,147.0,65.0,0.99,HIIT,15.6,3.6,3,1,34.0,9.5,0.845360824742268,8.030927835051546,711.6,0.845360824742268
1391,54,Female,72.1,1.59,167.0,147.0,84.0,0.89,Mixed,31.3,4.5,2,0,28.5,8.0,0.7590361445783133,6.072289156626506,389.7,0.7590361445783133
1392,23,Female,71.9,1.74,202.0,181.0,65.0,0.83,HIIT,20.8,3.4,6,2,23.9,9.5,0.8467153284671532,8.043795620437956,480.0,0.8467153284671532
1393,56,Female,72.5,1.58,165.0,127.0,81.0,0.66,Yoga,17.9,4.3,3,0,29.0,3.0,0.5476190476190477,1.642857142857143,78.6,0.5476190476190477
1394,41,Female,98.7,1.79,184.0,169.0,85.0,0.59,HIIT,26.8,2.8,3,0,30.9,9.5,0.8484848484848485,8.06060606060606,469.4,0.8484848484848485
1395,28,Female,60.5,1.81,186.0,148.0,80.0,0.71,Cardio,26.1,3.1,2,0,18.4,7.0,0.6415094339622641,4.4905660377358485,192.9,0.6415094339622641
1396,30,Female,73.3,1.59,192.0,153.0,81.0,0.29,Cardio,33.4,2.5,3,0,28.9,7.0,0.6486486486486487,4.54054054054054,96.5,0.6486486486486487
1397,51,Male,74.7,1.66,163.0,129.0,65.0,0.89,Cardio,19.9,3.3,5,1,27.1,7.0,0.6530612244897959,4.571428571428571,303.9,0.6530612244897959
1398,42,Male,81.3,1.68,191.0,158.0,56.0,1.24,Mixed,8.3,4.8,7,3,28.8,8.0,0.7555555555555555,6.044444444444444,609.4,0.7555555555555555
1399,24,Male,85.2,1.77,203.0,155.0,66.0,1.14,Cardio,10.7,3.8,7,3,27.3,7.0,0.6496350364963503,4.547445255474452,441.7,0.6496350364963503
1400,21,Male,78.2,1.84,201.0,159.0,62.0,0.65,Strength,15.5,3.1,6,2,23.1,6.0,0.697841726618705,4.18705035971223,212.8,0.697841726618705
1401,25,Female,73.4,1.51,187.0,145.0,68.0,0.88,Cardio,23.0,2.7,3,0,32.1,7.0,0.6470588235294118,4.529411764705882,292.6,0.6470588235294118
1402,37,Male,68.9,1.65,176.0,127.0,67.0,0.54,Yoga,25.5,3.8,2,0,25.4,3.0,0.5504587155963303,1.651376146788991,61.4,0.5504587155963303
1403,46,Male,60.9,1.65,183.0,145.0,74.0,0.37,Cardio,24.0,2.1,2,0,22.3,7.0,0.6513761467889908,4.559633027522936,102.7,0.6513761467889908
1404,27,Female,61.7,1.54,187.0,170.0,74.0,0.32,HIIT,27.1,3.1,3,0,26.0,9.5,0.8495575221238938,8.070796460176991,159.3,0.8495575221238938
1405,51,Male,74.2,1.63,172.0,128.0,75.0,0.98,Yoga,25.9,3.8,4,1,27.9,3.0,0.5463917525773195,1.6391752577319587,119.2,0.5463917525773195
1406,43,Female,72.4,1.72,186.0,127.0,55.0,1.06,Yoga,14.7,4.3,7,3,24.4,3.0,0.549618320610687,1.6488549618320612,126.5,0.549618320610687
1407,58,Female,69.8,1.65,163.0,131.0,72.0,0.78,Cardio,21.4,2.9,4,2,25.6,7.0,0.6483516483516484,4.538461538461538,247.1,0.6483516483516484
1408,20,Female,56.7,1.53,194.0,174.0,59.0,0.95,HIIT,24.1,3.2,6,2,24.4,9.5,0.8518518518518519,8.092592592592593,435.9,0.8518518518518519
1409,23,Male,77.1,1.9,188.0,132.0,64.0,0.88,Yoga,18.7,3.7,5,1,21.4,3.0,0.5483870967741935,1.6451612903225803,111.6,0.5483870967741935
1410,22,Female,60.3,1.71,200.0,142.0,71.0,1.17,Yoga,23.5,4.5,3,1,20.7,3.0,0.5503875968992248,1.6511627906976742,116.5,0.5503875968992248
1411,22,Male,52.6,1.69,192.0,153.0,60.0,0.94,Strength,8.5,3.7,7,3,18.4,6.0,0.7045454545454546,4.227272727272728,209.0,0.7045454545454546
1412,40,Male,74.1,1.57,180.0,152.0,68.0,1.14,Mixed,15.5,4.6,7,2,30.1,8.0,0.75,6.0,506.8,0.75
1413,26,Male,67.3,1.71,189.0,170.0,64.0,1.03,HIIT,18.9,3.2,5,1,23.1,9.5,0.848,8.056,558.4,0.848
1414,52,Female,49.8,1.66,165.0,134.0,77.0,0.83,Cardio,33.8,3.5,3,0,18.0,7.0,0.6477272727272727,4.534090909090909,187.4,0.6477272727272727
1415,37,Female,56.9,1.49,180.0,129.0,67.0,0.77,Yoga,31.5,3.8,2,0,25.6,3.0,0.5486725663716814,1.646017699115044,72.1,0.5486725663716814
1416,59,Female,63.1,1.57,160.0,113.0,55.0,1.05,Yoga,23.4,3.8,6,2,25.5,3.0,0.5523809523809524,1.6571428571428573,109.8,0.5523809523809524
1417,52,Male,55.7,1.76,164.0,144.0,84.0,1.13,Mixed,20.7,4.2,3,0,18.0,8.0,0.75,6.0,377.6,0.75
1418,35,Male,72.6,1.87,186.0,148.0,75.0,0.91,Cardio,20.6,3.3,3,1,20.7,7.0,0.6576576576576577,4.603603603603604,304.1,0.6576576576576577
1419,34,Female,60.4,1.72,191.0,155.0,70.0,0.96,Strength,22.1,2.8,3,1,20.5,6.0,0.7024793388429752,4.214876033057851,244.4,0.7024793388429752
1420,41,Male,67.4,1.79,177.0,141.0,55.0,1.24,Strength,10.6,4.2,6,2,21.0,6.0,0.7049180327868853,4.229508196721311,353.5,0.7049180327868853
1421,20,Female,79.9,1.66,201.0,182.0,73.0,0.58,HIIT,29.0,2.6,2,0,28.9,9.5,0.8515625,8.08984375,374.9,0.8515625
1422,49,Female,65.4,1.67,166.0,144.0,77.0,0.5,Mixed,35.1,3.8,3,0,23.4,8.0,0.7528089887640449,6.022471910112359,196.9,0.7528089887640449
1423,52,Male,71.4,1.79,160.0,136.0,63.0,0.86,Mixed,15.0,4.0,4,2,22.3,8.0,0.7525773195876289,6.020618556701031,369.7,0.7525773195876289
1424,55,Male,97.1,1.85,167.0,127.0,78.0,0.77,Yoga,21.8,4.1,5,1,28.5,3.0,0.550561797752809,1.651685393258427,123.5,0.550561797752809
1425,30,Female,85.1,1.81,194.0,142.0,78.0,0.58,Yoga,30.7,3.5,3,0,26.0,3.0,0.5517241379310345,1.6551724137931034,81.7,0.5517241379310345
1426,42,Male,44.6,1.57,168.0,118.0,55.0,0.99,Yoga,16.5,4.3,7,3,18.0,3.0,0.5575221238938053,1.672566371681416,73.9,0.5575221238938053
1427,26,Female,60.3,1.67,194.0,132.0,57.0,0.81,Yoga,21.5,3.6,4,2,21.5,3.0,0.5474452554744526,1.6423357664233578,80.2,0.5474452554744526
1428,21,Female,73.7,1.71,201.0,157.0,74.0,1.14,Cardio,23.5,3.7,3,1,25.3,7.0,0.6535433070866141,4.574803149606299,384.4,0.6535433070866141
1429,31,Male,55.4,1.65,190.0,148.0,69.0,1.31,Cardio,18.3,3.6,5,2,20.3,7.0,0.6528925619834711,4.570247933884298,331.7,0.6528925619834711
1430,54,Female,94.9,1.72,163.0,150.0,79.0,1.02,HIIT,26.6,4.0,2,0,32.1,9.5,0.8452380952380952,8.029761904761905,777.3,0.8452380952380952
1431,51,Male,75.9,1.76,169.0,139.0,68.0,1.36,Strength,21.1,4.1,5,3,24.5,6.0,0.7029702970297029,4.217821782178218,435.4,0.7029702970297029
1432,28,Female,66.5,1.78,197.0,176.0,62.0,1.23,HIIT,16.1,3.5,7,3,21.0,9.5,0.8444444444444444,8.022222222222222,656.2,0.8444444444444444
1433,58,Male,66.7,1.85,158.0,118.0,70.0,0.9,Yoga,28.9,4.2,3,1,19.5,3.0,0.5454545454545454,1.6363636363636362,98.2,0.5454545454545454
1434,20,Male,75.2,1.65,205.0,171.0,69.0,0.81,Mixed,22.8,4.2,5,2,27.7,8.0,0.75,6.0,365.5,0.75
1435,45,Female,51.0,1.54,168.0,134.0,71.0,0.78,Cardio,29.2,2.3,7,2,21.4,7.0,0.6494845360824743,4.546391752577319,180.9,0.6494845360824743
1436,46,Male,75.1,1.72,178.0,140.0,68.0,0.92,Cardio,17.3,3.0,6,2,25.5,7.0,0.6545454545454545,4.581818181818182,316.6,0.6545454545454545
1437,26,Male,67.7,1.87,194.0,151.0,70.0,0.86,Cardio,21.5,3.2,4,1,19.4,7.0,0.6532258064516129,4.57258064516129,266.2,0.6532258064516129
1438,20,Female,64.7,1.63,197.0,155.0,75.0,0.57,Cardio,24.4,2.1,3,1,24.3,7.0,0.6557377049180327,4.590163934426229,169.3,0.6557377049180327
1439,42,Male,65.6,1.75,169.0,145.0,75.0,0.5,Mixed,22.5,4.0,2,0,21.5,8.0,0.7446808510638298,5.957446808510638,195.4,0.7446808510638298
1440,51,Female,69.6,1.75,175.0,159.0,68.0,0.73,HIIT,19.5,3.5,3,1,22.7,9.5,0.8504672897196262,8.07943925233645,410.5,0.8504672897196262
1441,29,Male,60.1,1.7,186.0,146.0,71.0,0.94,Cardio,17.6,2.8,4,1,20.8,7.0,0.6521739130434783,4.565217391304348,257.9,0.6521739130434783
1442,59,Female,79.4,1.68,161.0,121.0,73.0,0.54,Yoga,30.5,3.0,2,0,28.1,3.0,0.5454545454545454,1.6363636363636362,70.2,0.5454545454545454
1443,26,Female,55.5,1.59,196.0,137.0,65.0,0.99,Yoga,23.0,3.4,7,2,22.0,3.0,0.549618320610687,1.6488549618320612,90.6,0.549618320610687
1444,32,Female,49.4,1.45,200.0,180.0,66.0,0.77,HIIT,22.1,3.7,3,1,23.4,9.5,0.8507462686567164,8.082089552238806,307.4,0.8507462686567164
1445,57,Female,58.1,1.57,161.0,148.0,75.0,0.76,HIIT,19.3,3.3,3,1,23.6,9.5,0.8488372093023255,8.063953488372093,356.1,0.8488372093023255
1446,42,Male,82.0,1.64,178.0,163.0,76.0,0.67,HIIT,28.1,2.7,3,0,30.4,9.5,0.8529411764705882,8.102941176470589,445.2,0.8529411764705882
1447,22,Female,88.3,1.79,200.0,181.0,74.0,0.73,HIIT,25.0,3.2,4,1,27.6,9.5,0.8492063492063492,8.067460317460318,520.0,0.8492063492063492
1448,28,Male,75.7,1.67,193.0,161.0,67.0,0.92,Mixed,20.2,4.5,6,2,27.2,8.0,0.746031746031746,5.968253968253968,415.7,0.746031746031746
1449,51,Female,47.7,1.63,165.0,130.0,65.0,0.74,Cardio,20.5,2.9,5,1,18.0,7.0,0.65,4.55,160.6,0.65
1450,41,Male,54.1,1.59,186.0,159.0,77.0,0.55,Mixed,21.7,3.2,3,1,21.4,8.0,0.7522935779816514,6.018348623853211,179.1,0.7522935779816514
1451,32,Female,87.6,1.75,186.0,155.0,64.0,1.18,Mixed,15.8,4.6,4,2,28.8,8.0,0.7459016393442623,5.967213114754099,616.8,0.7459016393442623
1452,55,Male,63.7,1.82,167.0,133.0,68.0,0.82,Cardio,19.5,2.8,5,1,19.3,7.0,0.6565656565656566,4.595959595959596,240.1,0.6565656565656566
1453,25,Male,77.7,1.79,194.0,163.0,71.0,0.67,Mixed,19.2,3.7,4,1,24.3,8.0,0.7479674796747967,5.983739837398374,311.5,0.7479674796747967
1454,22,Female,59.8,1.74,195.0,177.0,76.0,0.42,HIIT,30.6,2.9,3,0,19.7,9.5,0.8487394957983193,8.063025210084033,202.5,0.8487394957983193
1455,43,Female,47.3,1.53,182.0,152.0,83.0,0.57,Strength,33.9,3.8,5,1,20.1,6.0,0.696969696969697,4.181818181818182,112.7,0.696969696969697
1456,35,Female,83.1,1.64,186.0,133.0,68.0,1.33,Yoga,22.5,4.1,4,2,30.7,3.0,0.5508474576271186,1.652542372881356,182.6,0.5508474576271186
1457,23,Male,94.5,1.87,186.0,168.0,68.0,0.96,HIIT,25.1,3.5,3,1,26.9,9.5,0.847457627118644,8.050847457627118,730.4,0.847457627118644
1458,54,Male,89.7,1.79,167.0,155.0,84.0,0.49,HIIT,22.5,2.7,3,0,27.9,9.5,0.8554216867469879,8.126506024096386,357.2,0.8554216867469879
1459,30,Male,63.2,1.53,187.0,145.0,67.0,0.75,Cardio,19.1,2.8,2,0,27.1,7.0,0.65,4.55,215.7,0.65
1460,45,Male,65.7,1.67,167.0,139.0,73.0,0.9,Strength,29.1,3.4,3,0,23.4,6.0,0.7021276595744681,4.212765957446809,249.1,0.7021276595744681
1461,22,Female,62.5,1.72,203.0,157.0,72.0,0.63,Cardio,30.6,2.6,2,0,21.2,7.0,0.648854961832061,4.541984732824427,178.8,0.648854961832061
1462,30,Female,57.6,1.6,186.0,169.0,70.0,0.61,HIIT,23.3,3.4,5,1,22.4,9.5,0.853448275862069,8.107758620689655,284.9,0.853448275862069
1463,34,Female,48.8,1.45,187.0,160.0,77.0,0.63,Mixed,32.2,3.8,2,0,23.2,8.0,0.7545454545454545,6.036363636363636,185.6,0.7545454545454545
1464,57,Female,88.8,1.69,168.0,122.0,67.0,0.9,Yoga,11.8,3.9,6,2,31.1,3.0,0.5445544554455446,1.6336633663366338,130.6,0.5445544554455446
1465,49,Male,47.8,1.6,170.0,121.0,62.0,1.24,Yoga,8.0,4.6,5,3,18.7,3.0,0.5462962962962963,1.6388888888888888,97.1,0.5462962962962963
1466,46,Male,55.9,1.6,175.0,161.0,78.0,0.67,HIIT,26.7,3.1,3,0,21.8,9.5,0.8556701030927835,8.128865979381443,304.5,0.8556701030927835
1467,20,Female,55.0,1.64,197.0,149.0,60.0,0.82,Cardio,15.4,2.7,7,3,20.3,7.0,0.6496350364963503,4.547445255474452,205.1,0.6496350364963503
1468,57,Male,78.4,1.67,169.0,139.0,71.0,0.77,Strength,15.3,3.6,5,2,28.2,6.0,0.6938775510204082,4.163265306122449,251.3,0.6938775510204082
1469,51,Female,88.6,1.68,168.0,134.0,55.0,1.37,Strength,18.2,3.7,7,3,31.4,6.0,0.6991150442477876,4.1946902654867255,509.2,0.6991150442477876
1470,57,Male,63.9,1.59,166.0,150.0,62.0,0.71,HIIT,25.4,3.2,3,0,25.2,9.5,0.8461538461538461,8.038461538461538,364.7,0.8461538461538461
1471,44,Male,70.3,1.66,184.0,148.0,64.0,1.05,Strength,8.0,4.5,7,3,25.6,6.0,0.7,4.199999999999999,310.0,0.7
1472,30,Male,55.1,1.5,181.0,138.0,58.0,0.94,Cardio,8.1,2.6,7,3,24.4,7.0,0.6504065040650406,4.5528455284552845,235.8,0.6504065040650406
1473,50,Male,75.4,1.71,167.0,137.0,69.0,1.12,Strength,9.8,4.1,5,3,25.7,6.0,0.6938775510204082,4.163265306122449,351.6,0.6938775510204082
1474,23,Male,57.0,1.45,196.0,152.0,70.0,0.67,Cardio,25.7,2.7,6,2,27.1,7.0,0.6507936507936508,4.555555555555555,174.0,0.6507936507936508
1475,41,Male,70.1,1.65,180.0,164.0,78.0,0.9,HIIT,30.3,4.2,2,0,25.7,9.5,0.8431372549019608,8.009803921568627,505.3,0.8431372549019608
1476,36,Female,81.6,1.77,187.0,153.0,73.0,0.86,Strength,32.0,3.4,2,0,26.0,6.0,0.7017543859649122,4.2105263157894735,295.5,0.7017543859649122
1477,33,Male,67.1,1.57,193.0,148.0,63.0,1.31,Cardio,15.1,3.5,5,3,27.1,7.0,0.6538461538461539,4.576923076923077,402.3,0.6538461538461539
1478,57,Female,55.2,1.75,159.0,138.0,73.0,0.75,Mixed,25.2,3.8,2,0,18.0,8.0,0.7558139534883721,6.046511627906977,250.3,0.7558139534883721
1479,45,Female,77.4,1.8,174.0,144.0,75.0,0.54,Strength,27.6,3.4,2,0,24.0,6.0,0.696969696969697,4.181818181818182,174.8,0.696969696969697
1480,50,Female,53.0,1.45,176.0,130.0,73.0,0.33,Yoga,34.9,2.8,3,0,25.2,3.0,0.5533980582524272,1.6601941747572817,29.0,0.5533980582524272
1481,58,Female,71.1,1.66,164.0,136.0,71.0,0.39,Strength,24.1,3.0,4,1,25.7,6.0,0.6989247311827957,4.193548387096774,116.3,0.6989247311827957
1482,30,Female,49.0,1.45,181.0,148.0,69.0,1.0,Strength,24.8,3.9,4,1,23.3,6.0,0.7053571428571429,4.232142857142858,207.4,0.7053571428571429
1483,42,Female,68.6,1.67,169.0,143.0,65.0,1.54,Mixed,14.9,5.199999999999999,6,3,24.6,8.0,0.75,6.0,633.9,0.75
1484,59,Male,59.6,1.68,159.0,130.0,62.0,1.29,Strength,13.7,4.3,7,3,21.1,6.0,0.7010309278350515,4.2061855670103085,323.4,0.7010309278350515
1485,53,Male,37.8,1.45,170.0,139.0,67.0,0.95,Strength,20.3,3.7,5,1,18.0,6.0,0.6990291262135923,4.194174757281553,150.6,0.6990291262135923
1486,44,Male,97.9,1.87,179.0,162.0,68.0,0.81,HIIT,20.7,2.7,5,1,27.9,9.5,0.8468468468468469,8.045045045045045,638.0,0.8468468468468469
1487,55,Female,56.8,1.71,161.0,146.0,64.0,0.78,HIIT,22.2,3.7,3,1,19.5,9.5,0.845360824742268,8.030927835051546,355.8,0.845360824742268
